id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
WT1-01-01,P0,1. Infrastructure,Infrastructure,"Add Postgres, Redis/BullMQ, and search provider configuration scaffolding","Add package/environment scaffolding for DATABASE_URL, REDIS_URL, BRAVE_API_KEY, SERPAPI_API_KEY, TAVILY_API_KEY; expose typed research configuration without breaking legacy RSS startup.",Research APIs can detect missing Postgres/Redis/search config and report clear degradation; legacy RSS endpoints do not require research config.,npm run lint; npm run build,research-jobs: Preserve legacy news behavior; web-discovery: Search multiple providers,"Existing /api/news, /api/feeds, /api/refresh-ai imports still compile",已完成,已完成,已完成,已提交,,package.json; package-lock.json; .env.example; src/server/research/config.ts,"validation:npm run lint passed; audit: npm install reported 18 vulnerabilities, not changed by this issue"
WT1-01-02,P0,1. Infrastructure,Infrastructure,"Add research domain types, URL canonicalization, and budget utilities","Create shared ResearchJob, SearchCandidate, CrawlDocument, EvidenceItem, ResearchReport types plus URL canonicalization/domain/content hash/budget helper functions.","Utilities normalize duplicate URLs and enforce default maxDepth=3, maxUrlsPerRun=300, maxDomainsPerRun=50, runInterval=60min.",npm run lint; targeted unit tests if test runner exists,crawl-pipeline: Enqueue crawl candidates; web-discovery: Normalize and deduplicate candidates,Existing frontend/backend type imports remain valid,已完成,已完成,已完成,已提交,,src/types.ts; src/server/research/types.ts; src/server/research/url.ts; src/server/research/budget.ts,validation:npm run lint passed
WT2-01-01,P0,2. Research Storage,Storage,Add Postgres research schema initialization and repository methods,"Implement Postgres schema initialization and repository methods for research jobs, candidates, documents, evidence, and reports.","Research records can be created, listed, updated, and retrieved through repository methods; schema uses idempotent CREATE TABLE IF NOT EXISTS.",npm run lint,research-jobs: Create research jobs; research-reporting: Retrieve latest report,SQLite db.ts and existing news queries continue compiling,已完成,已完成,已完成,已提交,,src/server/research/store.ts; src/server/research/schema.ts,"validation:npm run lint passed; validation_limited:no local Postgres configured, schema not executed against live DB; manual_test:set DATABASE_URL and call initResearchSchema()"
WT2-01-02,P0,2. Research Storage,Storage,Add graceful configuration errors for missing research infrastructure,"Ensure research store/queue calls return explicit configuration errors when DATABASE_URL or REDIS_URL is missing, while legacy news APIs still work.",Missing research config does not crash process startup; research APIs return clear 503-style errors.,npm run lint; manual call /api/health without DATABASE_URL,research-jobs: Preserve legacy news behavior,Existing server startup path remains available without Postgres/Redis,已完成,已完成,已完成,已提交,,server.ts; src/server/research/config.ts; src/server/research/errors.ts,validation:npm run lint passed; manual_test:GET /api/research/status returns config status without DATABASE_URL/REDIS_URL
WT3-01-01,P1,3. Discovery And Crawling,Discovery,"Implement query planning, provider abstraction, and search provider normalization","Add query planner and provider adapters for Brave, SerpApi, and Tavily; normalize provider responses into SearchCandidate objects and degrade missing keys.",Configured providers produce normalized candidates; missing keys mark providers disabled and do not fail the run.,npm run lint; mocked provider normalization tests,web-discovery: Plan search queries; Search multiple providers; Normalize and deduplicate candidates,Provider code does not affect legacy RSS parsing,已完成,已完成,已完成,已提交,,src/server/research/searchProviders.ts; src/server/research/queryPlanner.ts,validation:npm run lint passed; validation_limited:provider calls not executed without API keys; manual_test:set provider key and call searchConfiguredProviders()
WT3-01-02,P1,3. Discovery And Crawling,Crawling,"Implement public page extraction, content hashing, link extraction, and budgeted link expansion","Add crawler utilities to fetch public pages, extract readable content, compute content hash, extract links, and filter/enqueue links within budget.",Public pages store extracted text; blocked/unavailable pages store failed status; cross-domain links are considered within budget.,npm run lint; mocked HTML extraction tests,crawl-pipeline: Extract public page content; Expand links across the web,Existing rss.ts extraction helpers continue compiling,已完成,已完成,已完成,已提交,,src/server/research/crawler.ts; src/server/research/url.ts; src/server/research/budget.ts,validation:npm run lint passed; validation_limited:no live crawl executed; manual_test:call crawlPublicPage() with public URL
WT4-01-01,P1,4. Analysis And Reporting,Analysis,Implement relevance analysis and evidence extraction,Add AI-backed relevance/evidence analysis for crawled documents with fallback state when Gemini is unavailable or returns malformed JSON.,Relevant documents get score/evidence; irrelevant documents do not create evidence; malformed AI output leaves retryable failed state.,npm run lint; mocked malformed JSON test,research-analysis: Score document relevance; Extract evidence items; Handle AI analysis failure,Existing analyzeContent news behavior remains unchanged,已完成,已完成,已完成,已提交,,src/server/research/analysis.ts; src/server/services/ai.ts,validation:npm run lint passed; validation_limited:no live Gemini call without API key; manual_test:set GEMINI_API_KEY and call analyzeResearchDocument()
WT4-01-02,P1,4. Analysis And Reporting,Reporting,Implement Markdown report generation and retrieval,Generate Markdown reports from stored evidence and expose report metadata for retrieval/regeneration.,"Jobs with evidence produce Markdown report with summary, evidence sections, source links, generation time; not-ready jobs return explicit state.",npm run lint; report generation unit test,research-reporting: Generate Markdown reports; Retrieve latest report; Regenerate reports,Existing archive Markdown generation remains unaffected,未开始,未开始,未开始,未提交,,src/server/research/reports.ts; src/server/research/store.ts,
WT5-01-01,P0,5. API And UI,API,Add research job APIs for create/list/detail/update/run/documents/report,"Wire Express routes for research job creation, list, detail, pause/resume/budget update, manual run, documents list, and latest report retrieval.",All new endpoints return JSON; missing research infra returns explicit error; manual run enqueues or executes a research run.,npm run lint; curl manual smoke when server runs,research-jobs: Create/control lifecycle; research-reporting: Retrieve latest report,Existing /api/news and /api/favorites behavior remains available,未开始,未开始,未开始,未提交,,server.ts; src/server/research/routes.ts; src/server/research/runner.ts,
WT5-01-02,P2,5. API And UI,Frontend,"Add frontend research job, evidence, and report views","Add UI controls for research jobs, evidence list, and Markdown report viewing while keeping existing news stream accessible.","User can switch between news and research surfaces; research views show job status, documents/evidence, and report content.",npm run lint; npm run build,research-jobs: Create/control lifecycle; research-reporting: Retrieve latest report,Existing NewsFeed and NewsCard views remain available,未开始,未开始,未开始,未提交,,src/App.tsx; src/components/Research*.tsx; src/types.ts,
