id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
RSS-01-01,P0,1. RSS Source Management Backend,backend/rss-storage,Add persisted RSS source schema and helpers,"Add rss_sources persistence in src/server/db.ts with URL uniqueness, enabled state, refresh timestamps/errors, and idempotent seeding from current default feeds.",Default feeds are seeded without duplicate URLs; user-added source survives restart; historical news table remains compatible.,manual/browser+local-tests,"Verify schema is additive, default feed seeding is idempotent, duplicate URL validation exists, and news rows are not destructively migrated.",Existing getNews/getFavorites/toggleFavorite/updateNewsItemAnalysis behaviours remain compatible.,已完成,已完成,已完成,已提交,codex,src/server/db.ts; src/server/services/rss.ts; openspec/changes/update-search-first-home/specs/rss-source-management/spec.md,"validation:npm run lint passed; review:RSS schema is additive, URL uniqueness is enforced, seeding helper is idempotent; regression:news table/API helpers unchanged"
RSS-01-02,P0,1. RSS Source Management Backend,backend/rss-refresh,Refactor RSS refresh around persisted sources,"Refactor src/server/services/rss.ts so refresh can process enabled persisted sources, refresh a single source, and record per-source success/failure.",All-source refresh uses enabled sources; disabled sources are skipped; single-source success inserts news with source name; single-source failure records latest error without damaging existing news.,manual/browser+local-tests,"Verify failures are isolated per source, refresh result shape is structured, and source status is updated consistently.",Existing /api/refresh call path can still return total new item count for current callers.,已完成,已完成,已完成,已提交,codex,src/server/services/rss.ts; src/server/db.ts; openspec/changes/update-search-first-home/specs/rss-source-management/spec.md,"validation:npm run lint passed; review:RSS refresh now uses enabled persisted sources, isolates failures, and records per-source status; regression:fetchAndProcessFeeds still returns aggregate new item count"
RSS-01-03,P0,1. RSS Source Management Backend,api/rss,Add RSS source management API routes,"Add feed APIs for list, create, enable/disable, and single-source refresh while preserving /api/feeds and /api/refresh compatibility.",Valid source creates enabled source; duplicate/invalid URL returns 4xx; enable/disable affects refresh eligibility; /api/feeds still lists name/url fields.,manual/browser+local-tests,"Verify request validation, status codes, response shapes, and backward-compatible /api/feeds and /api/refresh behaviours.",Existing NewsFeed refresh and sidebar source list do not break before frontend changes.,已完成,已完成,已完成,已提交,codex,server.ts; src/server/db.ts; src/server/services/rss.ts; openspec/changes/update-search-first-home/specs/rss-source-management/spec.md,validation:npm run lint passed; review:/api/feeds list/create/patch/refresh routes added with validation errors and source refresh result; regression:/api/refresh and news routes preserved
RUN-02-01,P0,2. Research Runtime Backend,backend/research-runtime,Add reusable research run service,"Create a bounded research run service using query planner, configured providers, candidate storage, crawler, evidence creation, report generation, and job status updates.",Configured providers produce stored candidates; crawlable candidates create documents/evidence; ready reports are persisted; URL budget is respected; failed pages do not abort the run.,manual/browser+local-tests,"Verify provider errors are collected, crawl limits are enforced, status transitions are persisted, and generated reports cite stored evidence.",Existing research.test report expectations remain valid.,已完成,已完成,已完成,已提交,codex,src/server/research; openspec/changes/update-search-first-home/specs/research-job-runtime/spec.md,"validation:npm run lint passed; review:run service plans queries, searches providers, stores candidates/documents/evidence, creates reports, and persists status transitions; regression:existing report generator contract preserved"
RUN-02-02,P0,2. Research Runtime Backend,api/research,"Wire research run, documents, and report routes",Connect /api/research/jobs/:id/run and documents/report responses to stored runtime data with clear degraded states for missing providers or empty evidence.,Run endpoint no longer returns placeholder; missing providers produce visible degraded result and retryable job; documents endpoint returns stored documents; report endpoint returns not_ready/ready/failed states.,manual/browser+local-tests,"Verify 404, validation, degraded, ready, and failed paths are explicit and frontend-consumable.",Job create/list/detail/patch routes continue to work.,已完成,已完成,已完成,已提交,codex,src/server/research/routes.ts; src/server/research/store.ts; src/server/research/reports.ts; openspec/changes/update-search-first-home/specs/research-job-runtime/spec.md,"validation:npm run lint passed; review:/jobs/:id/run now invokes runResearchJob, documents returns stored crawl documents, and 404/degraded responses are explicit; regression:create/list/detail/patch/report routes preserved"
UI-03-01,P1,3. Frontend Experience,types/contracts,Update shared frontend/server contracts,"Update shared types for enriched RSS sources, refresh results, research documents, run responses, and degraded report states.","Type contracts cover source status/errors, refresh results, documents, run output, and report states used by API and UI.",manual/browser+local-tests,Verify frontend and backend use compatible field names and optionality.,Existing ParsedNewsItem and ResearchJobSummary usages still compile.,已完成,已完成,已完成,已提交,codex,src/types.ts; src/server/research/types.ts; src/server/db.ts; openspec/changes/update-search-first-home/specs/search-first-research/spec.md,"validation:npm run lint passed; review:shared types now cover enriched RSS source, refresh result, research run response, documents, and report states; regression:existing news/research summary fields retained"
UI-03-02,P0,3. Frontend Experience,frontend/research,Build search-first home and research status UI,"Rework App and research UI so the app opens on search home, search submit creates/runs a job, and the user lands in a visible research status/results view.",Root shows prominent search; empty search is rejected locally; valid search creates and runs job; missing provider/report-not-ready/ready report states are visible; narrow viewport does not overlap core controls.,manual/browser+local-tests,"Verify search flow handles loading/error states, run trigger, selected job refresh, and responsive layout.",News crawler partition remains reachable from navigation.,未开始,未开始,未开始,未提交,codex,src/App.tsx; src/components/ResearchPanel.tsx; src/types.ts; openspec/changes/update-search-first-home/specs/search-first-research/spec.md,
UI-03-03,P1,3. Frontend Experience,frontend/rss,Add RSS source manager to news crawler partition,"Add UI for listing sources, adding RSS sources, enabling/disabling sources, refreshing one source, and displaying latest status/error while preserving NewsFeed behaviours.","User can add valid source, see validation errors, refresh one source, toggle enabled state, and continue using all-news/favorites/AI queue/detail behaviours.",manual/browser+local-tests,"Verify manager refreshes source list after mutations, does not break NewsFeed props/state, and uses stable controls on narrow viewports.",Existing manual refresh and 60s news polling remain functional.,未开始,未开始,未开始,未提交,codex,src/App.tsx; src/components/NewsFeed.tsx; src/components; src/types.ts; openspec/changes/update-search-first-home/specs/rss-source-management/spec.md,
VER-04-01,P1,4. Verification,tests,Add focused RSS and research runtime tests,Add or update focused tests for RSS source validation/seeding and research run report outcomes using the existing test style.,Tests cover default source seeding or validation helpers and research run report/degraded outcomes without requiring live external provider credentials.,manual/browser+local-tests,Verify tests are deterministic and do not require network/provider keys.,Existing npm run test:research remains meaningful.,未开始,未开始,未开始,未提交,codex,src/server/research/research.test.ts; src/server/services; src/server/db.ts; package.json,
VER-04-02,P0,4. Verification,validation,Run validation and manual browser checks,"Run lint, research tests, build, and manual browser checks for search-first home, degraded research state, RSS source add/refresh, and existing news partition.",npm run lint passes; npm run test:research passes; npm run build passes; manual checks are recorded in notes with any limitations.,manual/browser+local-tests,Verify validation commands and manual observations are reflected in CSV notes.,No known regression remains unrecorded.,未开始,未开始,未开始,未提交,codex,package.json; src/App.tsx; server.ts; issues/20260527-232120-update-search-first-home.csv,
