id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
RAH-01-01,P0,1. Research Opportunity Backend,research-backend,Add AnalysisOpportunity and AnalysisHandoff types,"Define decision modes, score breakdown, field coverage, source recommendations, warnings, and lineage metadata shared by Research and Data Lab.",Specs: research-analytics-handoff / Evaluate Research run analysis opportunity; Persist analysis opportunity; Preserve handoff lineage.,npm run test:research,Types expose report_only/light_analysis/full_analysis/continue_crawl and field/source/lineage structures.,Existing Research run and analytics dataset types remain compatible.,已完成,已完成,已完成,已提交,codex,src/server/research/types.ts; src/server/analytics/types.ts; openspec/changes/add-research-analytics-handoff/specs/research-analytics-handoff/spec.md,completed:新增 AnalysisOpportunity/AnalysisHandoff 类型；同时提交本 change 的 plan、OpenSpec artifacts 和 issues CSV 基线。validation:types_only
RAH-01-02,P0,1. Research Opportunity Backend,research-store,Persist opportunities and handoffs,Add create/read/update/lazy-load helpers for analysis opportunities and handoffs keyed by research run id.,Specs: Persist analysis opportunity; Preserve handoff lineage.,npm run test:research,Opportunity can be fetched after creation and old runs can lazily generate or return clear next action.,Existing research store schema initialization remains idempotent.,已完成,已完成,已完成,已提交,codex,src/server/research/store.ts; src/server/research/research.test.ts,completed:新增 analysis_opportunities/analysis_handoffs schema 与 get/upsert helper。validation:npm run lint passed
RAH-01-03,P0,1. Research Opportunity Backend,research-analysis,Implement deterministic opportunity scoring,"Score Research documents, tables, assets, candidates, frontier, providers, source profiles, reports, and topic terms without requiring LLM.",Specs: Evaluate Research run analysis opportunity / Market topic produces analyzable opportunity; Tool comparison avoids forced full analysis.,npm run test:research,Market-heavy topics produce full/continue-crawl recommendations with feature/missing-field evidence.,Tool/product-comparison topics do not default to full analysis.,未开始,未开始,未开始,未提交,codex,src/server/research/analysis.ts; src/server/research/store.ts; src/server/research/research.test.ts,
RAH-01-04,P1,1. Research Opportunity Backend,research-analysis,Add optional LLM topic expansion,"Use configured LLM for task type, candidate features, missing fields, recommended sources, and explanation while preserving deterministic fallback.",Specs: analytics-topic-planning / Use deterministic analytics for computed results; research-analytics-handoff / Evaluate Research run analysis opportunity.,npm run test:research,LLM failure still returns deterministic low/medium confidence opportunity.,No numeric statistics or chart values are generated by LLM.,未开始,未开始,未开始,未提交,codex,src/server/research/analysis.ts; src/server/services/llm.ts,
RAH-01-05,P0,1. Research Opportunity Backend,research-api,Add analysis-opportunity routes,Expose POST/GET /api/research/runs/:runId/analysis-opportunity and ensure generation is read-only.,Specs: Evaluate Research run analysis opportunity; Persist analysis opportunity; Opportunity generation has no analytics side effects.,npm run test:research,POST/GET return full opportunity payload and no analytics dataset/job is created.,"Existing run detail, report, evidence, graph, and search endpoints still work.",未开始,未开始,未开始,未提交,codex,src/server/research/routes.ts; src/server/analytics/store.ts; src/server/research/research.test.ts,
RAH-02-01,P0,2. Research Handoff Backend,research-api,Implement analysis-handoff route,"Add POST /api/research/runs/:runId/analysis-handoff supporting report_only, light_analysis, full_analysis, and continue_crawl.",Specs: Handoff decision controls side effects; Preserve handoff lineage.,npm run test:research,"Every decision returns handoff_id, decision, target_page, datasets/plans if created, next_actions, and warnings.",Invalid decisions return clear 400 without side effects.,未开始,未开始,未开始,未提交,codex,src/server/research/routes.ts; src/server/research/store.ts,
RAH-02-02,P0,2. Research Handoff Backend,research-api,Implement report-only handoff,Record report_only decision without creating analytics datasets or worker jobs.,Specs: Report-only decision; Report-only mode.,npm run test:research,Dataset/job counts do not increase after report_only.,Existing direct export route is unaffected.,未开始,未开始,未开始,未提交,codex,src/server/research/routes.ts; src/server/research/research.test.ts,
RAH-02-03,P0,2. Research Handoff Backend,research-analytics,Implement lightweight handoff,Create/reuse Research source registry or lightweight dataset and record allowed operations profile/stats/basic charts.,Specs: Lightweight analysis decision; Lightweight mode; Light mode restricts heavy actions.,npm run test:research; npm run test:analytics,Light handoff creates usable context and allowed operation metadata.,Regression/cluster/deep learning remain disabled by default.,未开始,未开始,未开始,未提交,codex,src/server/research/routes.ts; src/server/analytics/routes.ts; src/server/analytics/types.ts,
RAH-02-04,P0,2. Research Handoff Backend,research-analytics,Implement full-analysis handoff,Create/reuse source registry and create topic/plan metadata for Data Lab wizard entry.,Specs: Full analysis decision; Full mode; Preserve handoff lineage.,npm run test:research; npm run test:analytics,"Full handoff returns Data Lab wizard target, dataset/source registry context, and plan metadata.",Existing data-source export route still returns same shape.,未开始,未开始,未开始,未提交,codex,src/server/research/routes.ts; src/server/analytics/routes.ts; src/server/analytics/store.ts,
RAH-02-05,P1,2. Research Handoff Backend,research-discovery,Implement continue-crawl handoff,Generate follow-up planned queries from missing fields and recommended data sources while preserving run lineage.,Specs: Continue crawling decision.,npm run test:research,Continue-crawl adds planned queries and returns Research discovery next action.,Cancelled runs and invalid states return safe errors.,未开始,未开始,未开始,未提交,codex,src/server/research/routes.ts; src/server/research/store.ts; src/server/research/queryPlanner.ts,
